"id","process_id","step_id"
"1","1","1"
"2","1","4"
"3","10","45"
"4","7","28"
"5","1","5"
"6","1","1"
"7","1","5"
"8","1","5"
"9","1","5"
"10","1","5"
"11","1","5"
"12","1","5"
"13","1","5"
"14","1","5"
"15","1","4"
"16","1","5"
"17","1","5"
"18","1","4"
"19","1","5"
"20","1","5"
"21","1","5"
"22","1","4"
"23","1","5"
"24","1","5"
"25","1","3"
"26","1","5"
"27","1","5"
"28","1","1"
"29","2","1"
"30","1","5"
"31","1","5"
"32","1","4"
"33","1","4"
"34","1","4"
"35","1","1"
"36","1","5"
"37","1","5"
"38","1","5"
"39","1","5"
"40","1","5"
"41","1","5"
"42","1","4"
"43","1","5"
"44","1","5"
"45","1","5"
"46","1","5"
"47","1","5"
"48","1","5"
"49","1","5"
"50","1","5"
"51","1","5"
"52","1","3"
"53","1","5"
"54","1","5"
"55","1","5"
"56","1","4"
"57","1","5"
"58","1","5"
"59","1","5"
"60","1","4"
"61","1","4"
"62","1","4"
"63","1","5"
"64","1","4"
"65","1","5"
"66","1","5"
"67","1","5"
"68","1","1"
"69","1","3"
"70","1","5"
"71","1","5"
"72","1","3"
"73","1","1"
"74","1","5"
"75","1","1"
"76","1","1"
"77","1","5"
"78","1","1"
"79","1","4"
"80","1","1"
"81","1","1"
"82","1","1"
"83","1","1"
"84","1","5"
"85","1","1"
"86","1","1"
"87","1","1"
"88","1","1"
"89","1","1"
"90","1","5"
"91","1","5"
"92","1","1"
"93","1","1"
"94","1","1"
"95","1","1"
"96","1","1"
"97","1","1"
"98","1","5"
"99","1","1"
"100","1","1"
"101","1","1"
"102","1","1"
"103","1","1"
"104","1","1"
"105","1","1"
"106","1","3"
"107","1","1"
"108","1","1"
"109","1","5"
"110","1","3"
"111","1","3"
"112","1","1"
"113","1","1"
"114","1","3"
"115","1","3"
"116","1","3"
"117","1","4"
"118","1","4"
"119","1","3"
"120","1","5"
"121","1","3"
"122","1","1"
"123","1","3"
"124","1","3"
"125","1","5"
"126","1","3"
"127","1","1"
"128","1","3"
"129","1","1"
"130","1","1"
"131","1","1"
"132","1","5"
"133","1","3"
"134","1","3"
"135","1","1"
"136","1","3"
"137","1","4"
"138","1","3"
"139","1","1"
"140","1","1"
"141","1","3"
"142","1","5"
"143","1","5"
"144","1","3"
"145","1","5"
"146","1","5"
"147","1","5"
"148","1","5"
"149","1","5"
"150","1","5"
"151","1","1"
"152","1","5"
"153","1","3"
"154","1","3"
"155","1","5"
"156","1","5"
"157","1","1"
"158","1","3"
"159","1","1"
"160","1","5"
"161","1","1"
"162","1","3"
"163","1","5"
"164","1","5"
"165","1","1"
"166","1","3"
"167","1","5"
"168","1","1"
"169","1","5"
"170","1","5"
"171","1","1"
"172","1","1"
"173","1","5"
"174","1","1"
"175","1","5"
"176","1","1"
"177","1","5"
"178","1","5"
"179","1","2"
"180","1","5"
"181","1","5"
"182","1","5"
"183","1","3"
"184","1","3"
"185","1","3"
"186","1","5"
"187","1","5"
"188","1","5"
"189","1","5"
"190","1","1"
"191","1","5"
"192","1","5"
"193","1","5"
"194","1","5"
"195","1","5"
"196","1","5"
"197","1","5"
"198","1","5"
"199","1","5"
"200","1","5"
"201","1","1"
"202","1","5"
"203","1","4"
"204","1","1"
"205","1","1"
"206","1","1"
"207","1","1"
"208","1","5"
"209","1","5"
"210","1","4"
"211","1","1"
"212","1","5"
"213","1","1"
"214","1","4"
"215","1","3"
"216","1","5"
"217","1","5"
"218","1","5"
"219","1","5"
"220","1","1"
"221","1","5"
"222","1","1"
"223","1","1"
"224","1","1"
"225","1","5"
"226","1","1"
"227","1","1"
"228","1","5"
"229","1","5"
"230","1","4"
"231","1","5"
"232","1","3"
"233","1","5"
"234","1","3"
"235","1","3"
"236","1","5"
"237","1","3"
"238","1","5"
"239","1","5"
"240","1","1"
"241","1","3"
"242","1","5"
"243","1","5"
"244","1","4"
"245","1","4"
"246","1","3"
"247","1","4"
"248","1","1"
"249","1","5"
"250","1","4"
"251","1","5"
"252","1","5"
"253","1","4"
"254","4","12"
"255","4","12"
"256","4","12"
"257","4","12"
"258","4","12"
"259","1","1"
"260","1","5"
"261","1","1"
"262","1","1"
"263","1","4"
"264","1","3"
"265","1","3"
"266","1","3"
"267","1","5"
"268","1","5"
"269","1","5"
"270","1","5"
"271","1","4"
"272","1","5"
"273","1","5"
"274","1","1"
"275","1","5"
"276","1","1"
"277","1","5"
"278","1","2"
"279","1","1"
"280","1","1"
"281","1","5"
"282","1","1"
"283","1","5"
"284","1","4"
"285","1","4"
"286","1","2"
"287","4","12"
"288","4","13"
"289","4","12"
"290","4","12"
"291","4","12"
"292","4","12"
"293","4","12"
"294","4","12"
"295","4","12"
"296","4","12"
"297","4","12"
"298","4","12"
"299","4","12"
"300","4","12"
"301","4","12"
"302","4","12"
"303","4","12"
"304","4","12"
"305","4","12"
"306","4","12"
"307","4","12"
"308","5","19"
"309","5","19"
"310","5","19"
"311","5","18"
"312","5","20"
"313","1","2"
"314","1","1"
"315","1","1"
"316","1","1"
"317","1","5"
"318","1","4"
"319","1","5"
"320","1","3"
"321","1","1"
"322","1","1"
"323","1","3"
"324","1","1"
"325","1","5"
"326","1","3"
"327","1","2"
"328","1","5"
"329","1","5"
"330","1","5"
"331","1","5"
"332","1","1"
"333","1","1"
"334","1","3"
"335","1","1"
"336","1","1"
"337","1","4"
"338","1","5"
"339","1","5"
"340","1","5"
"341","1","5"
"342","1","5"
"343","5","21"
"344","1","1"
"345","1","1"
"346","1","5"
"347","1","3"
"348","1","3"
"349","1","5"
"350","1","5"
"351","1","5"
"352","1","5"
"353","1","5"
"354","1","5"
"355","1","2"
"356","1","3"
"357","1","1"
"358","1","1"
"359","1","5"
"360","1","5"
"361","1","3"
"362","1","5"
"363","1","1"
"364","1","1"
"365","1","1"
"366","1","5"
"367","1","1"
"368","1","2"
"369","1","5"
"370","1","3"
"371","1","3"
"372","1","3"
"373","1","3"
"374","1","1"
"375","1","3"
"376","5","20"
"377","1","1"
"378","1","1"
"379","1","4"
"380","1","5"
"381","1","2"
"382","1","5"
"383","1","1"
"384","1","5"
"385","1","1"
"386","1","1"
"387","1","5"
"388","7","31"
"389","1","1"
"390","1","3"
"391","1","1"
"392","1","5"
"393","1","1"
"394","1","4"
"395","1","1"
"396","1","5"
"397","1","1"
"398","1","5"
"399","1","3"
"400","1","4"
"401","1","4"
"402","1","2"
"403","1","5"
"404","1","1"
"405","1","5"
"406","7","33"
"407","7","33"
"408","7","33"
"409","7","27"
"410","7","27"
"411","7","33"
"412","7","33"
"413","7","33"
"414","7","33"
"415","7","28"
"416","7","33"
"417","7","33"
"418","7","31"
"419","7","33"
"420","7","33"
"421","7","27"
"422","7","33"
"423","7","30"
"424","7","28"
"425","7","33"
"426","7","33"
"427","7","33"
"428","7","33"
"429","7","33"
"430","7","28"
"431","7","33"
"432","7","31"
"433","7","28"
"434","7","26"
"435","7","28"
"436","7","27"
"437","7","31"
"438","7","33"
"439","7","33"
"440","7","33"
"441","7","30"
"442","7","30"
"443","7","33"
"444","7","33"
"445","7","33"
"446","7","33"
"447","7","27"
"448","7","33"
"449","7","28"
"450","7","33"
"451","7","28"
"452","7","28"
"453","7","33"
"454","7","33"
"455","7","33"
"456","7","33"
"457","7","33"
"458","7","33"
"459","7","33"
"460","7","33"
"461","7","33"
"462","7","33"
"463","7","28"
"464","7","33"
"465","7","33"
"466","7","31"
"467","7","33"
"468","7","33"
"469","7","28"
"470","7","33"
"471","7","33"
"472","7","33"
"473","7","33"
"474","7","33"
"475","7","33"
"476","7","33"
"477","7","33"
"478","7","31"
"479","7","33"
"480","7","33"
"481","7","33"
"482","7","33"
"483","7","30"
"484","7","27"
"485","7","28"
"486","7","28"
"487","7","33"
"488","7","28"
"489","7","33"
"490","7","33"
"491","7","27"
"492","7","28"
"493","7","28"
"494","7","28"
"495","7","33"
"496","7","33"
"497","7","33"
"498","7","33"
"499","7","33"
"500","7","33"
"501","7","33"
"502","7","33"
"503","7","33"
"504","7","33"
"505","7","33"
"506","7","28"
"507","7","33"
"508","7","33"
"509","7","33"
"510","7","33"
"511","7","30"
"512","7","33"
"513","7","33"
"514","7","33"
"515","7","28"
"516","7","33"
"517","7","33"
"518","7","33"
"519","7","33"
"520","7","28"
"521","7","33"
"522","7","33"
"523","7","33"
"524","7","33"
"525","7","28"
"526","7","28"
"527","7","33"
"528","7","33"
"529","7","28"
"530","7","30"
"531","7","33"
"532","7","33"
"533","7","28"
"534","7","28"
"535","7","33"
"536","7","33"
"537","7","33"
"538","7","33"
"539","7","33"
"540","7","33"
"541","7","33"
"542","7","33"
"543","7","33"
"544","7","33"
"545","7","33"
"546","7","33"
"547","7","33"
"548","7","33"
"549","7","33"
"550","7","33"
"551","7","33"
"552","7","33"
"553","7","31"
"554","7","33"
"555","7","28"
"556","7","28"
"557","7","33"
"558","7","33"
"559","7","28"
"560","7","28"
"561","7","28"
"562","7","28"
"563","7","33"
"564","7","33"
"565","7","27"
"566","7","33"
"567","7","27"
"568","7","33"
"569","7","33"
"570","7","28"
"571","7","33"
"572","7","27"
"573","7","33"
"574","7","33"
"575","7","33"
"576","7","33"
"577","7","28"
"578","7","33"
"579","7","33"
"580","7","27"
"581","7","33"
"582","7","33"
"583","7","28"
"584","7","29"
"585","7","27"
"586","7","33"
"587","7","28"
"588","7","33"
"589","7","27"
"590","7","33"
"591","7","27"
"592","7","33"
"593","7","26"
"594","7","33"
"595","7","28"
"596","7","27"
"597","7","27"
"598","7","27"
"599","7","30"
"600","7","33"
"601","7","33"
"602","7","33"
"603","7","33"
"604","7","33"
"605","7","33"
"606","7","27"
"607","7","33"
"608","7","33"
"609","7","28"
"610","7","27"
"611","7","27"
"612","7","33"
"613","7","27"
"614","7","28"
"615","7","28"
"616","7","28"
"617","7","33"
"618","7","27"
"619","7","28"
"620","7","33"
"621","7","27"
"622","7","27"
"623","7","27"
"624","7","33"
"625","7","33"
"626","7","33"
"627","7","29"
"628","7","29"
"629","7","33"
"630","7","28"
"631","7","33"
"632","7","31"
"633","7","33"
"634","7","33"
"635","7","33"
"636","7","33"
"637","7","33"
"638","7","31"
"639","7","33"
"640","7","33"
"641","7","33"
"642","7","31"
"643","7","33"
"644","7","33"
"645","7","33"
"646","7","33"
"647","7","33"
"648","7","28"
"649","7","33"
"650","7","33"
"651","7","31"
"652","7","27"
"653","7","33"
"654","7","33"
"655","7","28"
"656","7","33"
"657","7","33"
"658","7","33"
"659","7","33"
"660","7","28"
"661","7","33"
"662","7","33"
"663","7","33"
"664","7","33"
"665","7","31"
"666","7","28"
"667","7","33"
"668","7","33"
"669","7","27"
"670","7","33"
"671","7","33"
"672","7","33"
"673","7","33"
"674","7","33"
"675","7","31"
"676","7","33"
"677","7","33"
"678","7","33"
"679","7","33"
"680","7","33"
"681","7","33"
"682","7","33"
"683","7","33"
"684","7","28"
"685","7","33"
"686","7","28"
"687","7","27"
"688","7","33"
"689","7","33"
"690","7","33"
"691","1","1"
"692","7","33"
"693","7","33"
"694","7","33"
"695","7","33"
"696","7","33"
"697","7","33"
"698","7","33"
"699","7","33"
"700","7","33"
"701","7","27"
"702","7","28"
"703","7","27"
"704","7","33"
